"Key","Datum","Positief getest","Ziekenhuisopnames","Overleden","Positief getest (nieuw)","Ziekenhuisopnames (nieuw)","Overleden (nieuw)","BesmettingenPer100000","OverledenPer100000","Positief getest (GGD)","Ziekenhuisopnames (GGD)","Overleden (GGD)","Positief getest (nieuw - GGD)","Ziekenhuisopnames (nieuw - GGD)","Overleden (nieuw - GGD)","Positief getest (OSIRIS)","Positief getest (nieuw - OSIRIS)","Overleden onbekend (OSIRIS)","IC Intake","IC 3 dagen","IC Indicator","Reproductiegetal","Besmettelijk","Besmettelijk per 100.000","Besmet  (7dgn/100k)","Besmet  (7dgn/100k) trend","Besmet  (1dag/100k)","Opname gemiddelde (3dgn)","IC bezetting Covid-19 (totaal) NICE","IC Covid-19 (totaal) cumulatief NICE","IC Covid-19 (nieuw) cumulatief NICE","IC Covid-19 (totaal-ontslagen) cumulatief NICE","IC Covid-19 (totaal-overleden) cumulatief NICE","IC Covid-19 (totaal) LCPS","IC Covid-19 (nieuw) LCPS","IC non-Covid-19 (totaal) LCPS","Intake (LCPS)","niet-IC Covid-19 LCPS","niet-IC Covid-19 (nieuw) LCPS","Ziekenhuisopnames (NICE)","Intake (NICE)"
"2020-02-27","27-2-2020","1","","0","1","0","0","","","5","3","0","5","3","0","228","228","43","1","1","0,033333333","2,06","6390","","","1","","","16","16","1","0","0","0","0","0","0","0","0","61","3"
"2020-02-28","28-2-2020","2","","0","1","0","0","0","0","9","6","0","4","3","0","291","63","54","0","1","0,033333333","2,10","8092","","","1","","","17","17","1","0","0","0","0","0","0","0","0","64","4"
"2020-02-29","29-2-2020","6","","0","4","0","0","0","0","23","8","0","14","2","0","356","65","67","0","1","0,033333333","1,99","10188","58,67798973","","1","","","18","18","0","0","0","0","0","0","0","0","0","64","1"
"2020-03-01","1-3-2020","10","","0","4","0","0","0","0","36","17","0","13","9","0","490","134","94","2","1","0,033333333","1,83","12637","72,7830542","","1","","","20","20","2","0","0","0","0","0","0","0","0","72","9"
"2020-03-02","2-3-2020","18","","0","8","0","0","0","0","83","27","0","47","10","0","633","143","115","0","2","0,066666667","1,79","15566","89,65268827","","1","","","19","20","0","0","0","0","0","0","0","0","0","83","10"
"2020-03-03","3-3-2020","24","","0","6","0","0","0","0","124","38","0","41","11","0","759","126","144","1","2","0,066666667","1,82","18917","108,9528398","","1","","","21","22","1","0","0","0","0","0","0","0","0","90","9"
"2020-03-04","4-3-2020","38","","0","14","0","0","0","0","168","51","0","44","13","0","898","139","178","3","3","0,1","1,84","22634","130,3609756","","1","","","24","25","3","2","0","0","0","0","0","0","0","102","13"
"2020-03-05","5-3-2020","82","","0","44","0","0","0","0","209","63","0","41","12","0","1064","166","218","1","4","0,133333333","1,86","26992","155,4609638","0,46652112","1","0,25341888","","24","27","2","2","0","0","0","0","0","0","0","112","14"
"2020-03-06","6-3-2020","128","","1","46","0","1","1","0","241","82","1","32","19","1","1266","202","258","4","5","0,166666667","1,89","31660","182,3464031","0,72569952","1","0,26493792","","28","31","4","2","0","0","0","0","0","0","0","127","22"
"2020-03-07","7-3-2020","188","","1","60","0","0","1","0","286","91","2","45","9","1","1505","239","302","3","8","0,266666667","1,90","37439","215,6306692","1,048232639","1","0,3455712","","30","34","3","3","0","0","0","0","0","0","0","136","10"
"2020-03-08","8-3-2020","265","","3","77","0","2","2","0","358","113","4","72","22","2","1748","243","364","6","8","0,266666667","1,80","44563","256,6614896","1,468677599","1","0,44348304","","36","40","6","3","2","0","0","0","0","0","0","154","24"
"2020-03-09","9-3-2020","321","","3","56","0","0","2","0","436","144","4","78","31","0","2193","445","481","5","13","0,433333333","1,67","50929","293,3265939","1,745134559","1","0,32253312","","41","48","7","3","2","0","0","0","0","0","0","179","34"
"2020-03-10","10-3-2020","382","","4","61","0","1","2","0","574","178","5","138","34","1","2613","420","584","9","14","0,466666667","1,55","56112","323,1781861","2,061908159","1","0,35133072","","49","58","10","3","2","0","0","0","0","0","0","202","38"
"2020-03-11","11-3-2020","503","62","5","121","62","1","3","0","742","226","7","168","48","2","3141","528","716","9","20","0,666666667","1,43","61987","357,0153661","2,678176799","1","0,69690192","","57","68","9","3","4","0","0","0","0","0","0","239","52"
"2020-03-12","12-3-2020","614","86","5","111","24","0","4","0","928","297","10","186","71","3","3718","577","833","23","23","0,766666667","1,33","67633","389,533616","3,064064638","1","0,63930672","","77","91","23","3","5","0","0","0","0","0","0","283","77"
"2020-03-13","13-3-2020","804","115","9","190","29","4","5","0","1150","381","16","222","84","6","4394","676","1004","13","41","1,366666667","1,25","73799","425,0468163","3,893435518","1","1,094308799","","88","105","13","4","5","0","0","0","0","0","0","350","86"
"2020-03-14","14-3-2020","959","136","12","155","21","3","6","0","1371","454","26","221","73","10","5088","694","1154","19","45","1,5","1,16","81949","471,9869042","4,440589918","4,236263736","0,8927256","24,66666667","106","125","19","7","5","0","0","0","0","0","0","390","80"
"2020-03-15","15-3-2020","1135","162","19","176","26","7","7","0","1605","545","40","234","91","14","5846","758","1317","26","55","1,833333333","1,04","90990","524,0587245","5,010782397","3,411764706","1,013675519","25,33333333","129","153","27","7","7","0","0","0","0","0","0","439","96"
"2020-03-16","16-3-2020","1413","205","23","278","43","4","8","0","1876","713","64","271","168","24","6903","1057","1562","33","58","1,933333333","0,96","100223","577,2363727","6,289395837","3,603960396","1,601146559","30","160","187","33","8","12","0","0","0","0","0","0","570","173"
"2020-03-17","17-3-2020","1705","314","40","292","109","17","10","0","2246","878","87","370","165","23","7728","825","1749","35","78","2,6","0,92","111242","640,7005235","7,619844956","3,695530726","1,681779839","59,33333333","190","224","35","8","14","0","0","0","0","0","0","656","179"
"2020-03-18","18-3-2020","2051","408","56","346","94","16","12","0","2704","1090","106","458","212","19","8591","863","1943","51","94","3,133333333","0,88","121946","702,3504256","8,915736955","3,329032258","1,992793919","82","240","279","51","12","17","0","0","0","0","0","0","779","222"
"2020-03-19","19-3-2020","2460","489","77","409","81","21","14","0","3219","1391","151","515","301","45","9416","825","2121","58","119","3,966666667","0,84","133749","770,3300401","10,63207391","3,469924812","2,355643679","94,66666667","298","345","60","12","25","0","0","0","0","0","0","980","310"
"2020-03-20","20-3-2020","3651","648","105","1191","159","28","21","1","3915","1699","207","696","308","56","10416","1000","2351","82","144","4,8","0,81","144935","834,7560308","16,39735343","4,211538462","6,859588316","111,3333333","373","432","83","14","30","0","0","0","0","0","0","1157","321"
"2020-03-21","21-3-2020","3631","836","136","-20","188","31","21","1","4583","1951","272","668","252","65","11289","873","2538","72","191","6,366666667","0,79","155387","894,9545338","15,38943743","3,465629053","-0,1151904","142,6666667","442","514","75","16","42","0","0","0","0","0","0","1240","274"
"2020-03-22","22-3-2020","4204","988","180","573","152","44","24","1","5123","2234","335","540","283","63","12038","749","2696","72","212","7,066666667","0,75","163570","942,0846859","17,67596687","3,527586207","3,300204958","166,3333333","492","588","73","19","48","0","0","0","0","0","0","1345","309"
"2020-03-23","23-3-2020","4749","1230","213","545","242","33","27","1","5742","2740","422","619","506","87","13237","1199","2971","98","226","7,533333333","0,72","169128","974,0960981","19,21375871","3,054945055","3,138938398","194","585","691","101","22","65","0","0","0","0","0","0","1664","545"
"2020-03-24","24-3-2020","5560","1495","276","811","265","63","32","2","6862","3233","499","1120","493","77","14203","966","3214","108","242","8,066666667","0,71","172041","990,8735798","22,20294959","2,9138322","4,670970718","219,6666667","666","805","109","26","75","0","0","0","0","0","0","1916","529"
"2020-03-25","25-3-2020","6412","1836","356","852","341","80","37","2","7911","3741","614","1049","508","115","15234","1031","3466","114","278","9,266666667","0,71","172643","994,3408108","25,11726671","2,817183463","4,907111037","282,6666667","764","924","116","31","88","0","0","0","0","0","0","2130","549"
"2020-03-26","26-3-2020","7431","2151","434","1019","315","78","43","2","8962","4240","740","1051","499","126","16180","946","3712","103","320","10,66666667","0,72","169936","978,7497902","28,63057391","2,692849404","5,868950877","307","849","1037","107","41","106","0","0","0","0","0","0","2325","541"
"2020-03-27","27-3-2020","8603","2500","546","1172","349","112","50","3","10141","4864","856","1179","624","116","17244","1064","3976","113","325","10,83333333","0,74","166114","956,7369048","28,52114303","1,73937478","6,750157436","335","936","1157","114","47","121","0","0","0","0","0","0","2588","671"
"2020-03-28","28-3-2020","9762","2954","639","1159","454","93","56","4","11126","5215","1009","985","351","153","18103","859","4169","98","330","11","0,76","161302","929,0220946","35,3116171","2,294535928","6,675283677","372,6666667","1000","1261","100","51","140","0","0","0","0","0","0","2524","393"
"2020-03-29","29-3-2020","10866","3483","771","1104","529","132","63","4","11872","5513","1132","746","298","123","18904","801","4328","87","314","10,46666667","0,76","154457","889,5981802","38,36992222","2,170739655","6,358510077","444","1046","1353","89","62","164","0","0","0","0","0","0","2478","342"
"2020-03-30","30-3-2020","11750","3990","864","884","507","93","68","5","12678","6015","1286","806","502","154","20028","1124","4580","126","298","9,933333333","0,75","147384","848,8610952","40,3223995","2,098621103","5,091415677","496,6666667","1135","1485","129","71","184","0","0","0","0","0","0","2625","565"
"2020-03-31","31-3-2020","12595","4712","1039","845","722","175","73","6","13802","6377","1461","1124","362","175","20881","853","4738","109","311","10,36666667","0,71","140264","807,8533129","40,51822318","1,824902724","4,866794397","586","1200","1598","110","89","218","0","0","0","0","0","0","2555","418"
"2020-04-01","1-4-2020","13614","5159","1173","1019","447","134","78","7","14844","6718","1625","1042","341","164","21999","1118","4950","72","322","10,73333333","0,69","133216","767,2602159","41,48006302","1,651456088","5,868950877","558,6666667","1217","1672","75","107","243","1191","1191","0","0","0","0","2459","388"
"2020-04-02","2-4-2020","14697","5784","1339","1083","625","166","85","8","15872","7110","1803","1028","392","178","23025","1026","5176","90","307","10,23333333","0,69","125786","724,4669823","41,8486723","1,461677731","6,237560157","598","1260","1771","93","122","265","1273","82","0","0","0","0","2439","443"
"2020-04-03","3-4-2020","15723","6285","1487","1026","501","148","91","9","17094","7479","1978","1222","369","175","24078","1053","5378","76","271","9,033333333","0,72","119564","688,6312489","41,00778238","1,437802908","5,909267517","524,3333333","1287","1850","76","143","297","1324","51","0","0","0","0","2442","408"
"2020-04-04","4-4-2020","16627","6621","1651","904","336","164","96","10","18190","7688","2153","1096","209","175","25077","999","5623","62","238","7,933333333","0,75","113892","655,9632515","39,53910478","1,119719458","5,206606077","487,3333333","1291","1916","65","157","316","1360","36","0","0","0","0","2235","251"
